AWND,PRCP,SNOW,TAVG,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,MONTH,DAY,DEPARTURE_DELAY
14.32,0.0,0.0,26,33,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,9
12.75,0.0,0.0,34,41,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2
10.29,0.62,1.4,28,37,22,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,3,25
8.28,0.57,0.0,38,52,35,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,20
22.15,0.0,0.0,40,50,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,7
8.72,0.02,0.2,17,18,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,30
15.66,0.0,0.0,19,26,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,7,8
14.32,0.0,0.0,8,19,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,14
14.32,0.01,0.2,23,30,19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9,14
11.63,0.0,0.0,22,24,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,10
9.62,0.0,0.0,21,33,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11,3
9.4,0.2,0.0,35,38,33,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,12,7
10.51,0.0,0.0,27,35,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13,-1
8.72,0.0,0.0,18,25,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14,4
9.62,0.12,0.8,26,31,25,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,15,15
15.66,0.0,0.0,28,38,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16,5
10.96,0.0,0.0,16,22,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,17,1
9.84,0.15,0.0,32,51,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,18,4
15.21,0.0,0.0,42,46,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,19,2
13.42,0.0,0.0,33,39,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,20,-1
6.71,0.0,0.0,27,34,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,21,0
6.93,0.0,0.0,32,37,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,22,0
10.29,0.0,0.0,31,37,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,23,1
